id,Calories
750000,27.293049
750001,108.347336
750002,86.39646
750003,124.533325
750004,76.67717
750005,20.171194
750006,47.664825
750007,7.070222
750008,10.780054
750009,202.97125
750010,78.914604
750011,221.23187
750012,70.5845
750013,252.95738
750014,83.5623
750015,140.82558
750016,66.09753
750017,159.76416
750018,123.96042
750019,187.65121
750020,86.19426
750021,62.247375
750022,77.88592
750023,5.976717
750024,35.545444
750025,149.86232
750026,74.13266
750027,153.69144
750028,84.77984
750029,17.026472
750030,87.30686
750031,20.917206
750032,30.41116
750033,11.306125
750034,95.66435
750035,105.601166
750036,49.819332
750037,42.671005
750038,155.98978
750039,134.3651
750040,101.20856
750041,39.24441
750042,82.90188
750043,90.5643
750044,187.59756
750045,100.41774
750046,208.15988
750047,16.631786
750048,29.230778
750049,138.55746
750050,204.91489
750051,161.03252
750052,23.899025
750053,44.886314
750054,70.44287
750055,80.69052
750056,119.85931
750057,224.82976
750058,132.57086
750059,171.57202
750060,109.09716
750061,124.126396
750062,115.916
750063,29.603006
750064,117.37541
750065,10.603536
750066,32.997677
750067,158.73608
750068,5.9673266
750069,160.19298
750070,98.88719
750071,189.55284
750072,144.04286
750073,31.19869
750074,145.29518
750075,143.11572
750076,80.18479
750077,6.296944
750078,136.24472
750079,154.0903
750080,67.61347
750081,162.40262
750082,14.874319
750083,84.57048
750084,141.18326
750085,46.551647
750086,9.142377
750087,45.52148
750088,25.901266
750089,90.84631
750090,21.197926
750091,135.58023
750092,54.268703
750093,69.71181
750094,11.688091
750095,15.976097
750096,27.012964
750097,34.64744
750098,207.08583
750099,32.996246
750100,23.178453
750101,133.35603
750102,81.79629
750103,61.77932
750104,52.934193
750105,7.03041
750106,31.325842
750107,138.38684
750108,1.9326267
750109,43.56687
750110,82.11883
750111,33.28384
750112,36.401154
750113,76.619774
750114,164.73766
750115,72.9594
750116,59.750607
750117,127.08312
750118,131.41766
750119,8.834861
750120,136.70242
750121,120.325
750122,243.01694
750123,70.096664
750124,14.46273
750125,150.11139
750126,104.88685
750127,105.876785
750128,110.554375
750129,33.50991
750130,120.31835
750131,195.21796
750132,162.66544
750133,114.691315
750134,69.51744
750135,102.376274
750136,16.174263
750137,124.729065
750138,52.381634
750139,68.765884
750140,18.287159
750141,16.092993
750142,66.78364
750143,9.71694
750144,83.566086
750145,34.114094
750146,7.002688
750147,4.417971
750148,68.21374
750149,82.02772
750150,5.7393165
750151,70.16475
750152,10.688123
750153,58.250805
750154,156.89342
750155,28.958405
750156,148.7193
750157,76.51632
750158,48.845985
750159,26.471844
750160,24.266533
750161,27.713585
750162,111.28175
750163,72.273026
750164,72.76034
750165,112.82117
750166,40.269894
750167,240.25482
750168,28.843637
750169,52.73875
750170,40.924477
750171,133.28073
750172,132.51242
750173,34.126427
750174,50.899746
750175,121.359634
750176,152.07657
750177,56.83102
750178,57.229645
750179,184.82422
750180,30.776512
750181,45.824387
750182,70.95845
750183,119.35663
750184,67.64063
750185,80.68053
750186,159.57515
750187,17.096813
750188,24.879877
750189,140.75572
750190,55.918728
750191,74.32845
750192,111.68653
750193,60.160534
750194,114.95977
750195,147.18483
750196,79.38564
750197,56.576263
750198,144.54662
750199,28.116302
750200,80.55026
750201,245.77272
750202,32.431316
750203,268.23193
750204,20.931408
750205,206.8521
750206,93.31677
750207,57.173695
750208,14.3246
750209,79.68863
750210,203.28178
750211,65.74091
750212,22.617949
750213,18.236494
750214,93.74128
750215,29.189135
750216,40.58375
750217,23.398598
750218,142.633
750219,28.756624
750220,41.49485
750221,69.64537
750222,83.4073
750223,6.839606
750224,73.72136
750225,118.20135
750226,15.961616
750227,83.436424
750228,26.751366
750229,186.44984
750230,7.45143
750231,5.9184394
750232,137.12639
750233,71.17307
750234,14.281192
750235,154.36656
750236,16.808598
750237,82.21502
750238,59.062317
750239,115.20664
750240,8.035641
750241,32.601856
750242,25.952194
750243,20.777933
750244,155.65042
750245,96.90297
750246,84.63776
750247,44.962036
750248,48.951027
750249,87.84131
750250,43.012062
750251,104.43316
750252,166.67859
750253,11.495417
750254,19.855556
750255,16.816494
750256,119.17858
750257,136.66884
750258,32.94194
750259,209.81917
750260,148.11508
750261,37.075905
750262,17.14826
750263,37.209465
750264,187.53581
750265,48.6201
750266,27.617733
750267,8.799184
750268,85.403015
750269,11.964039
750270,137.14369
750271,57.22626
750272,22.923069
750273,196.85213
750274,154.91205
750275,244.82497
750276,21.918892
750277,175.6317
750278,63.94122
750279,91.03673
750280,85.42185
750281,34.638985
750282,93.69814
750283,98.93946
750284,54.3054
750285,55.020817
750286,88.53043
750287,100.87261
750288,11.081832
750289,148.82597
750290,33.83389
750291,91.10388
750292,69.97496
750293,46.79183
750294,174.79155
750295,63.42218
750296,250.07239
750297,105.08521
750298,73.980896
750299,83.38399
750300,125.40528
750301,124.923615
750302,135.11668
750303,29.805935
750304,128.07513
750305,125.05896
