id,Listening_Time_minutes
750000,56.017334
750001,17.54185
750002,53.266045
750003,76.59903
750004,48.180527
750005,22.815678
750006,86.15098
750007,40.857445
750008,65.73005
750009,77.80122
750010,15.020641
750011,22.851917
750012,33.232414
750013,60.118114
750014,48.96546
750015,61.778015
750016,56.23082
750017,33.94536
750018,59.031116
750019,42.576572
750020,35.661686
750021,57.417213
750022,77.118416
750023,30.862532
750024,55.4136
750025,57.715168
750026,12.553393
750027,25.308014
750028,43.554123
750029,46.529972
750030,37.70457
750031,35.920273
750032,13.285626
750033,59.699432
750034,22.936682
750035,20.59662
750036,14.498251
750037,36.73925
750038,25.226322
750039,24.662642
750040,15.390646
750041,84.108894
750042,69.457756
750043,70.27081
750044,52.233532
750045,20.59362
750046,15.472632
750047,51.54769
750048,15.713648
750049,6.6058335
750050,89.88566
750051,24.875113
750052,45.471344
750053,77.5769
750054,16.563402
750055,16.72254
750056,74.12944
750057,58.11064
750058,20.989918
750059,37.60819
750060,48.70778
750061,34.344074
750062,69.61742
750063,76.82686
750064,46.12648
750065,15.837514
750066,66.31046
750067,43.051987
750068,57.24431
750069,45.08657
750070,35.4716
750071,50.535797
750072,61.455276
750073,26.653688
750074,40.658447
750075,88.343796
750076,15.64695
750077,11.588671
750078,74.70923
750079,82.51187
750080,62.15825
750081,87.764175
750082,16.258724
750083,77.294205
750084,74.44
750085,64.944016
750086,56.071964
750087,101.15758
750088,12.005217
750089,47.502533
750090,63.72165
750091,79.26035
750092,36.45075
750093,32.88602
750094,51.60859
750095,32.113525
750096,4.378382
750097,28.993853
750098,36.032444
750099,16.09239
750100,69.58888
750101,46.27946
750102,49.696022
750103,50.313656
750104,33.96307
750105,33.976543
750106,30.728468
750107,88.546364
750108,60.759357
750109,39.229095
750110,49.44788
750111,21.500242
750112,5.5903606
750113,77.32137
750114,57.390614
750115,74.666275
750116,82.99111
750117,69.771904
750118,49.659042
750119,24.361862
750120,2.9110155
750121,57.887672
750122,79.77139
750123,60.329227
750124,36.103775
750125,21.613098
750126,65.52941
750127,2.8812218
750128,5.739307
750129,16.782944
750130,45.114357
750131,30.899035
750132,5.0684285
750133,46.68701
750134,77.9988
750135,32.316
750136,53.336525
750137,12.752342
750138,88.79503
750139,60.850456
750140,53.74218
750141,54.789085
750142,50.957115
750143,30.969412
750144,61.383305
750145,55.96033
750146,78.06011
750147,67.387024
750148,62.585735
750149,8.031495
750150,26.813507
750151,65.816734
750152,53.056534
750153,60.156857
750154,57.686066
750155,14.984151
750156,4.162646
750157,69.000404
750158,19.431831
750159,36.223705
750160,56.66236
750161,46.518333
750162,60.233887
750163,18.931112
750164,76.14127
750165,84.18798
750166,74.91822
750167,83.40654
750168,52.09163
750169,60.906326
750170,53.622303
750171,39.94909
750172,1.1392905
750173,38.21853
750174,37.244083
750175,59.628525
750176,119.92449
750177,79.03588
750178,44.435936
750179,5.206211
750180,88.30903
750181,51.291733
750182,98.00736
750183,36.022068
750184,80.035805
750185,32.249
750186,91.9435
750187,46.14109
750188,11.323595
750189,20.950489
750190,52.922943
750191,29.06073
750192,34.863678
750193,29.312174
750194,56.847702
750195,75.94774
750196,27.56102
750197,9.591845
750198,19.672691
750199,38.781204
750200,58.84559
750201,69.486664
750202,37.047977
750203,54.852142
750204,64.80643
750205,32.050495
750206,18.359385
750207,53.952972
750208,33.47696
750209,45.75898
750210,54.386963
750211,52.775528
750212,55.95443
750213,63.857574
750214,32.803864
750215,66.44824
750216,73.327675
750217,60.51651
750218,8.922191
750219,35.16194
750220,52.20996
750221,31.482237
750222,37.594505
750223,34.614227
750224,69.72977
750225,2.653346
750226,79.15306
750227,65.273766
750228,37.136864
750229,28.798407
750230,56.24276
750231,27.233246
750232,53.775936
750233,70.801704
750234,23.365847
750235,19.686314
750236,46.207527
750237,34.30137
750238,26.299196
750239,20.899027
750240,81.548325
750241,76.83499
750242,17.615768
750243,45.9053
750244,18.287575
750245,47.651764
750246,48.04581
750247,97.688675
750248,15.363332
750249,84.69473
750250,53.74682
750251,32.342995
750252,42.731472
750253,77.419754
750254,48.03576
750255,27.285769
750256,48.43233
750257,33.380497
750258,9.13312
750259,23.316547
750260,38.59693
750261,49.970276
