id,Listening_Time_minutes
750000,55.455826
750001,18.661385
750002,56.981033
750003,73.84115
750004,48.83028
750005,22.882204
750006,82.45728
750007,43.280415
750008,63.740192
750009,79.1997
750010,14.543738
750011,22.302303
750012,33.431652
750013,66.294624
750014,49.566967
750015,60.83145
750016,57.611362
750017,34.449116
750018,59.683655
750019,41.871998
750020,35.778797
750021,56.07188
750022,75.55885
750023,30.548946
750024,55.39631
750025,61.07783
750026,13.396953
750027,24.90915
750028,43.328903
750029,43.98181
750030,37.441086
750031,36.543026
750032,14.009736
750033,59.041927
750034,23.655342
750035,20.525902
750036,13.850096
750037,38.861008
750038,25.611301
750039,23.579647
750040,15.650016
750041,86.06511
750042,70.50493
750043,71.63654
750044,52.371315
750045,22.443777
750046,14.461928
750047,51.795494
750048,16.070284
750049,7.827859
750050,88.03812
750051,24.552221
750052,46.492916
750053,76.53837
750054,16.009832
750055,17.122118
750056,75.34747
750057,58.329258
750058,22.575102
750059,33.332977
750060,48.9399
750061,35.51672
750062,69.23564
750063,79.68882
750064,45.52368
750065,15.356714
750066,66.828224
750067,42.255375
750068,57.106026
750069,44.226624
750070,36.50005
750071,53.56225
750072,56.237217
750073,26.500286
750074,42.10576
750075,88.67827
750076,15.541244
750077,10.4150305
750078,75.222664
750079,82.3497
750080,66.20603
750081,91.86412
750082,16.627998
750083,77.41888
750084,70.69583
750085,64.88871
750086,54.888866
750087,97.85119
750088,12.430999
750089,49.08417
750090,63.777493
750091,78.171364
750092,37.019165
750093,32.861374
750094,51.62443
750095,32.17402
750096,4.013027
750097,28.67144
750098,36.38934
750099,16.856506
750100,79.73405
750101,45.981464
750102,49.142044
750103,53.48793
750104,33.285984
750105,33.862415
750106,29.2578
750107,90.52994
750108,60.863197
750109,38.947975
750110,47.262035
750111,21.617258
750112,4.227091
750113,78.04956
750114,59.50799
750115,69.83173
750116,82.91132
750117,71.49891
750118,50.3396
750119,23.505444
750120,3.1641295
750121,58.571785
750122,78.274734
750123,60.321045
750124,36.041718
750125,21.398174
750126,67.39469
750127,4.5219173
750128,5.26361
750129,16.042376
750130,44.052704
750131,30.855104
750132,4.936967
750133,44.60321
750134,78.00397
750135,32.48599
750136,55.604843
750137,12.398671
750138,87.964935
750139,60.78854
750140,52.957787
750141,55.146286
750142,50.823536
750143,31.38171
750144,61.92738
750145,54.976418
750146,80.30222
750147,66.646545
750148,67.26164
750149,8.430546
750150,26.13545
750151,67.51309
750152,54.429184
750153,61.954998
750154,57.681446
750155,14.713187
750156,3.6070125
750157,70.5567
750158,19.067673
750159,37.57006
750160,56.77494
750161,44.554176
750162,61.048233
750163,18.57353
750164,70.93407
750165,79.61071
750166,72.47183
750167,87.235825
750168,52.184845
750169,74.766045
750170,55.65942
750171,38.712387
750172,0.71868384
750173,39.994
750174,37.08355
750175,60.686256
750176,118.60852
750177,77.50093
750178,45.099087
750179,5.17711
750180,89.40318
750181,48.672657
750182,96.85627
750183,35.88712
750184,82.123886
750185,33.53104
750186,94.52507
750187,46.269196
750188,10.2743025
750189,20.971954
750190,52.042023
750191,28.764805
750192,34.8116
750193,28.770779
750194,45.79178
750195,76.12918
750196,27.45043
750197,9.953216
750198,18.755024
750199,38.008434
750200,60.058628
750201,69.54801
750202,36.916084
750203,56.19211
750204,62.021515
750205,31.740005
750206,17.785473
750207,54.389523
750208,31.8904
750209,45.51664
750210,52.8031
750211,52.452415
750212,52.447926
750213,64.324875
750214,33.8758
750215,67.66645
750216,74.674095
750217,58.952904
750218,8.370733
750219,34.6632
750220,42.798157
750221,30.82771
750222,38.592934
750223,34.277374
750224,70.05378
750225,1.6161916
750226,81.27957
750227,62.745853
750228,36.530575
750229,29.158922
750230,59.144135
